id,user_id,title,user_summary,ai_summary,photos,created_at,updated_at
0db95aa8-75ef-4839-8690-7536a97b1ebc,b9bdc868-ba41-4cc0-8bb9-ff93a74499e4,Summer 2025 Updates,"- went through my mid-20s crisis over the simmer
- tried to find my inner peace by reconnecting with different hobbies such as cooking and art
- went to northeast US (just Boston)
- got a promotion at work (shoutout to the goats)","Mid‑20s crisis? Yeah, went through it over the simmer — but found a lot of calm reconnecting with cooking (lots of baking and rice rolls), clay art, and plant care. Took a quick trip to Boston and—big news—got promoted at work (shoutout to the goats). Feeling steadier and proud of the little hands‑and‑heart wins 🎉

#NewChapter #CookingAndCrafts #BostonTrip #Promotion #PlantParenthood","[""https://bvdxvgvughylnzfagnns.supabase.co/storage/v1/object/public/life-updates-images/updates/0db95aa8-75ef-4839-8690-7536a97b1ebc/IMG_0431.jpg?"",""https://bvdxvgvughylnzfagnns.supabase.co/storage/v1/object/public/life-updates-images/updates/0db95aa8-75ef-4839-8690-7536a97b1ebc/IMG_0551.jpg?"",""https://bvdxvgvughylnzfagnns.supabase.co/storage/v1/object/public/life-updates-images/updates/0db95aa8-75ef-4839-8690-7536a97b1ebc/IMG_0573.jpg?"",""https://bvdxvgvughylnzfagnns.supabase.co/storage/v1/object/public/life-updates-images/updates/0db95aa8-75ef-4839-8690-7536a97b1ebc/IMG_9025.jpg?""]",2025-09-04 00:11:50.532525+00,2025-09-04 00:12:15.270382+00
23df50dd-bfe8-4658-a1ad-e2472654f799,20d2d5c4-1015-472b-aa75-7a2c954ccc09,August,My friend went to the city!! Also baby pic of her is soo cute,"She made it to the city — so proud! Also obsessed with this adorable baby photo (bow and all). From tiny bow to city mirror selfie — love this glow-up ✨

#CityTrip #Throwback #CuteBaby #ProudFriend","[""https://bvdxvgvughylnzfagnns.supabase.co/storage/v1/object/public/life-updates-images/updates/23df50dd-bfe8-4658-a1ad-e2472654f799/F1C3B119-2331-454A-9DEF-3FB12CFD12C4.JPG?"",""https://bvdxvgvughylnzfagnns.supabase.co/storage/v1/object/public/life-updates-images/updates/23df50dd-bfe8-4658-a1ad-e2472654f799/1D4A7B23-4D22-48F5-B786-852F108D4D0E.JPG?""]",2025-09-02 03:03:25.04954+00,2025-09-02 03:03:41.502725+00
24bf0033-77b5-4f18-b7f4-0da135fff660,20d2d5c4-1015-472b-aa75-7a2c954ccc09,s,s,,[],2025-09-02 00:40:02.055477+00,2025-09-02 00:40:02.055477+00
30ec333f-9e82-4a53-a063-c5fb32a00aca,b9bdc868-ba41-4cc0-8bb9-ff93a74499e4,test,1245,This is a placeholder summary.,[],2025-09-09 01:57:19.682922+00,2025-09-09 01:57:19.955035+00
339dff80-dd63-4fe6-a362-72320add4936,20d2d5c4-1015-472b-aa75-7a2c954ccc09,November,"- Lunch Run (Run): 8.0 km in 45 min on 11/18/2025.
Im in Seattle visiting my sister! The weather is all dreary. But here are her plants!!","8.0 km lunch run in 45 min (11/18/2025). Visiting my sister in Seattle — dreary weather, but her houseplants are brightening the day and helping me recharge 🌿

#LunchRun #Seattle #PlantLove #RainyDay","[""https://bvdxvgvughylnzfagnns.supabase.co/storage/v1/object/public/life-updates-images/updates/339dff80-dd63-4fe6-a362-72320add4936/IMG_7500.jpg?""]",2025-11-18 20:43:08.662872+00,2025-11-18 20:43:22.354521+00
46b609b6-874d-4a9b-a7a2-aeb704642cd7,20d2d5c4-1015-472b-aa75-7a2c954ccc09,November,"- Top track: ""Sin Money"" by Harsh Verma (Sin Money).

Making memories in seattle!!","Sin Money by Harsh Verma on repeat while making memories in Seattle — soaking up the city vibes and good tunes 🎧

#SeattleAdventures #NowPlaying #MakingMemories #TravelVibes",[],2025-11-19 00:10:02.567472+00,2025-11-19 00:10:13.102766+00
4deaa8cf-52b2-4935-ac47-26bfa48b008e,20d2d5c4-1015-472b-aa75-7a2c954ccc09,November,"- Top track: ""Sin Money"" by Harsh Verma (Sin Money).

Making memories in seattle!!","Making memories in Seattle with ""Sin Money"" by Harsh Verma on repeat 🎧 — loving every minute of this city. 

#Seattle #NowPlaying #TravelVibes #GoodTimes",[],2025-11-19 00:08:15.894131+00,2025-11-19 00:08:37.478768+00
586acc64-5264-4e81-8c1c-33cfefaa2bfa,20d2d5c4-1015-472b-aa75-7a2c954ccc09,October,Here is a picture of AT&T discovery district. Also Happy Halloween,"Checked out the AT&T Discovery District today — that huge LED façade looked amazing against a clear blue sky. Happy Halloween! 🎃

#ATandTDiscoveryDistrict #HappyHalloween #CityWalk #BigScreens","[""https://bvdxvgvughylnzfagnns.supabase.co/storage/v1/object/public/life-updates-images/updates/586acc64-5264-4e81-8c1c-33cfefaa2bfa/IMG_1979.jpeg?""]",2025-11-06 20:59:36.844878+00,2025-11-06 20:59:57.00115+00
5ffa3d18-0546-48a6-b6d8-192a903b2050,b9bdc868-ba41-4cc0-8bb9-ff93a74499e4,test,test,,[],2025-09-07 01:34:34.227934+00,2025-09-07 01:34:34.227934+00
614e4581-3234-406d-b7ba-f8c7dddab404,20d2d5c4-1015-472b-aa75-7a2c954ccc09,August,I went to a coldplay concert! Also baby abby is sooo cuteee,,[],2025-08-31 06:51:32.21905+00,2025-08-31 06:51:32.21905+00
